salary_id,employee_id,salary_amount,salary_date
161,11161,1000,4/24/2023 10:05
162,11162,1000,4/24/2023 10:05
163,11163,500,4/24/2023 10:05
164,11164,500,4/24/2023 10:05
165,11165,1500,4/24/2023 10:05
166,11166,1000,4/24/2023 10:05
167,11167,1000,4/24/2023 10:05
168,11168,500,4/24/2023 10:05
169,11169,2000,4/24/2023 10:05
170,11170,2000,4/24/2023 10:05
171,11171,500,4/24/2023 10:05
172,11172,1500,4/24/2023 10:05
173,11173,600,4/24/2023 10:05
174,11174,900,4/24/2023 10:05
175,11175,1000,4/24/2023 10:05
176,11176,1000,4/24/2023 10:05
177,11177,500,4/24/2023 10:05
178,11178,500,4/24/2023 10:05
179,11179,1500,4/24/2023 10:05
180,11180,1000,4/24/2023 10:05
181,11181,1000,4/24/2023 10:05
182,11182,500,4/24/2023 10:05
183,11183,2000,4/24/2023 10:05
184,11184,2000,4/24/2023 10:05
185,11185,500,4/24/2023 10:05
186,11186,1500,4/24/2023 10:05
187,11187,600,4/24/2023 10:05
188,11188,900,4/24/2023 10:05
189,11189,1000,4/24/2023 10:05
190,11190,1000,4/24/2023 10:05
191,11191,500,4/24/2023 10:05
192,11192,500,4/24/2023 10:05
193,11193,1500,4/24/2023 10:05
194,11194,1000,4/24/2023 10:05
195,11195,1000,4/24/2023 10:05
196,11196,500,4/24/2023 10:05
197,11197,2000,4/24/2023 10:05
198,11198,2000,4/24/2023 10:05
199,11199,500,4/24/2023 10:05
200,11200,1500,4/24/2023 10:05
201,11201,600,4/24/2023 10:05
202,11202,900,4/24/2023 10:05
203,11203,1000,4/24/2023 10:05
204,11204,1000,4/24/2023 10:05
205,11205,500,4/24/2023 10:05
206,11206,500,4/24/2023 10:05
207,11207,1500,4/24/2023 10:05
208,11208,1000,4/24/2023 10:05
209,11209,1000,4/24/2023 10:05
210,11210,500,4/24/2023 10:05
211,11211,2000,4/24/2023 10:05
212,11212,2000,4/24/2023 10:05
213,11213,500,4/24/2023 10:05
214,11214,1500,4/24/2023 10:05
215,11215,600,4/24/2023 10:05
216,11216,900,4/24/2023 10:05
217,11217,1000,4/24/2023 10:05
218,11218,1000,4/24/2023 10:05
219,11219,500,4/24/2023 10:05
220,11220,500,4/24/2023 10:05
221,11221,1500,4/24/2023 10:05
222,11222,1000,4/24/2023 10:05
223,11223,1000,4/24/2023 10:05
224,11224,500,4/24/2023 10:05
225,11225,2000,4/24/2023 10:05
226,11226,2000,4/24/2023 10:05
227,11227,500,4/24/2023 10:05
228,11228,1500,4/24/2023 10:05
229,11229,600,4/24/2023 10:05
230,11230,900,4/24/2023 10:05
231,11231,1000,4/24/2023 10:05
232,11232,1000,4/24/2023 10:05
233,11233,500,4/24/2023 10:05
234,11234,500,4/24/2023 10:05
235,11235,1500,4/24/2023 10:05
236,11236,1000,4/24/2023 10:05
237,11237,1000,4/24/2023 10:05
238,11238,500,4/24/2023 10:05
239,11239,2000,4/24/2023 10:05
240,11240,2000,4/24/2023 10:05
241,11241,500,4/24/2023 10:05
242,11242,1500,4/24/2023 10:05
243,11243,600,4/24/2023 10:05
244,11244,900,4/24/2023 10:05
245,11245,1000,4/24/2023 10:05
246,11246,1000,4/24/2023 10:05
247,11247,500,4/24/2023 10:05
248,11248,500,4/24/2023 10:05
249,11249,1500,4/24/2023 10:05
250,11250,1000,4/24/2023 10:05
251,11251,1000,4/24/2023 10:05
252,11252,500,4/24/2023 10:05
253,11253,2000,4/24/2023 10:05
254,11254,2000,4/24/2023 10:05
255,11255,500,4/24/2023 10:05
256,11256,1500,4/24/2023 10:05
257,11257,600,4/24/2023 10:05
258,11258,900,4/24/2023 10:05
259,11259,1000,4/24/2023 10:05
260,11260,1000,4/24/2023 10:05
261,11261,500,4/24/2023 10:05
262,11262,500,4/24/2023 10:05
263,11263,1500,4/24/2023 10:05
264,11264,1000,4/24/2023 10:05
265,11265,1000,4/24/2023 10:05
266,11266,500,4/24/2023 10:05
267,11267,2000,4/24/2023 10:05
268,11268,2000,4/24/2023 10:05
269,11269,500,4/24/2023 10:05
270,11270,1500,4/24/2023 10:05
271,11271,600,4/24/2023 10:05
272,11272,900,4/24/2023 10:05
273,11273,1000,4/24/2023 10:05
274,11274,1000,4/24/2023 10:05
275,11275,500,4/24/2023 10:05
276,11276,500,4/24/2023 10:05
277,11277,1500,4/24/2023 10:05
278,11278,1000,4/24/2023 10:05
279,11279,1000,4/24/2023 10:05
280,11280,500,4/24/2023 10:05
281,11281,2000,4/24/2023 10:05
282,11282,2000,4/24/2023 10:05
283,11283,500,4/24/2023 10:05
284,11284,1500,4/24/2023 10:05
285,11285,600,4/24/2023 10:05
286,11286,900,4/24/2023 10:05
287,11287,1000,4/24/2023 10:05
288,11288,1000,4/24/2023 10:05
289,11289,500,4/24/2023 10:05
290,11290,500,4/24/2023 10:05
291,11291,1500,4/24/2023 10:05
292,11292,1000,4/24/2023 10:05
293,11293,1000,4/24/2023 10:05
294,11294,500,4/24/2023 10:05
295,11295,2000,4/24/2023 10:05
296,11296,2000,4/24/2023 10:05
297,11297,500,4/24/2023 10:05
298,11298,2000,4/24/2023 10:05
299,11299,2000,4/24/2023 10:05
300,11300,500,4/24/2023 10:05
301,11301,1500,4/24/2023 10:05
302,11302,600,4/24/2023 10:05
303,11303,900,4/24/2023 10:05
304,11304,1000,4/24/2023 10:05
305,11305,1000,4/24/2023 10:05
306,11306,500,4/24/2023 10:05
307,11307,500,4/24/2023 10:05
308,11308,1500,4/24/2023 10:05
309,11309,500,4/24/2023 10:05
310,11310,2000,4/24/2023 10:05
311,11311,2000,4/24/2023 10:05
312,11312,500,4/24/2023 10:05
313,11313,1500,4/24/2023 10:05
314,11314,600,4/24/2023 10:05
315,11315,900,4/24/2023 10:05
316,11316,1000,4/24/2023 10:05
317,11317,1000,4/24/2023 10:05
318,11318,500,4/24/2023 10:05
319,11319,500,4/24/2023 10:05
